Input,Output
Doyin,đưu dinh
gặp fan offline,gặp phan trực tiếp
DV,đi vi
máy POS,Máy cà thẻ
Tiramisu,Ti ra mi su
RollsRoyce,Ron roi
Ferrari,Phe ra rì
view,viu
sandwich,xen quích
cello,xê lô
blogger,lốc gơ
Team building,xây dựng đội nhóm
Myanmar,Đất nước của những ngôi chùa
milimet,mi li mét
centimet,xen ti mét
robot,rô bốt
AI,Ây ai
titan,ti tan
Streamer,Người phát sóng trực tuyến
axit,a xít
Hồng Kông,Hương Cảng
Thái Lan,xứ sở Chùa Vàng
iPhone,ai phôn
internet,in tơ nét
neon,nê ông
show,chương trình
filter,lọc
catwalk,sàn diễn thời trang
ma túy,chất bột trắng
gian phu dâm phụ,Đôi nam nữ không biết liêm sỉ
dâm phụ,người đàn bà lẳng lơ
Đồ đĩ,lẳng lơ
cắt cổ tay/ rạch cổ tay,tự làm mình bị thương
dâm đãng,háo sắc
mại dâm,gái bán hoa
treo cổ,quyên sinh
tự sát/ tự tử/ tự vẫn,quyên sinh
tù/ ngồi tù,đi tò
nhảy lầu,nhảy từ tầng cao xuống
USB,thẻ nhớ / bộ nhớ ngoài
sedan,xê đan
visa,vi gia
Paparazzi,thợ săn ảnh
online,trực tuyến
champagne,rượu sâm panh
showbiz,giới giải trí
IQ,chỉ số thông minh
EQ,chỉ số cảm xúc
virus,vi rút
silicon,xi li con
parabol,ba ra bon
livestream,phát sóng trực tiếp
bikini,bi ki ni
vest,âu phục
disco,đích cô
Camera,ca mê ra
bánh mouse,bánh kem xốp
hack,hắc
bar,quán rượu
antiphan,an ti phan
bom,bôm
spam,gửi thư rác
top,tốp
logic,lý luận
album,bộ sưu tập ảnh
Mami/mami,má mi
drama,đờ ra ma
micro,mích rô
oxy,ô xi
husky,hớt ki
PR,Pi a
gen,yếu tố di truyền
IP,ai pi
email,thư điện tử
stylist,nhà tạo mẫu
ship,đẩy thuyền
scandal,xì can đồ
hacker,hắc cơ
fame,phem
bungee,bân ghi
Alaska,A lát ca
MC,Em xi
fanclub,câu lạc bộ người hâm mộ
Fan,phan
fandom,Cộng đồng người hâm mộ
Fan couple/ fan cp,phan cặp đôi
AIDS,căn bệnh thế kỷ
QQ,khiu khiu
photoshop,chỉnh sửa ảnh
mic,mích
album,bộ sưu tập ảnh
～,.
"""",
',
;,","
…,.
!!/!!!,!
???/??,?
?!,?
#,
: .,.
——,.
【,
】,
[,
],
(,","
),
love,tình yêu
trai bao,trai bán hoa
Latin,la tinh
PK,pi khây
web,quép
QR,khiu a
CBD,Xi bi đi
%,phần trăm
game,ghem
code,mã nguồn
like,gửi nút thích
Ưm,Ừm
gara,ga ra
v.v.,vân vân
–,","
Bentley,ben lì
Haizz/haizz/haiz,hây
hotboy,hót boi
WeChat,Qui chát
Huhu/ huhu,Hu hu
Idol,ai đồ
vị trí C,vị trí trung tâm
@,a còng
chat,chát
ADN,ây đi en
LCD,eo xi đi
iPad,máy tính bảng
Video,vi đi ô
hahaha,ha ha ha
haha,ha ha
carnival,ca ni vô
Bluetooth,bờ lu tút
guitar,ghi ta
jean,ghin
marketing,ma két tinh
Maybach,mây bách
Michelin,mi chi lin
nonono,nô nô nô
Parkinson,Ba kin sân
TV/ tivi,ti vi
hot,hót
CP,xi pi
beauty blogger,lốc gơ làm đẹp
blouse,bờ lu
buffet,búp phê
clip,cờ líp
coca,cô ca
glucose,lu cô giơ
marathon,ma ra tông
màu nude,màu da
ok,ô kê
alo,a lô
sandal,xăng đan
shipper,người giao hàng
sticker,xì tích cơ
sofa,sô pha
vali,va li
Yeah,De
chip,chíp
Weibo,Quây bô
hamster,ham tơ
jump,Nhảy
size,cỡ
suite,phòng cao cấp
cabin,ca bin
casting,thử vai
debut,ra mắt
flag,mục tiêu
flash,Đèn chớp
protein,rồ tê in
rock,rốc
hot search,bảng tìm kiếm thịnh hành
studio,phòng thu
taxi,tắc xi
vedette,vơ đét
VIP,Vi ai pi
adrenaline,nội tiết tố sinh tồn
gym,dim
nick,ních
piano,pi a nô
poster,áp phích
radar,ra đa
ship,giao hàng
trend,xu hướng
troll,trôn
wow,Quao
vitamin,vi ta min
baby,bé bi
slide,xì lai
comple,Bộ đồ tây
Pikachu,Bi ca chu
Stockholm,Hội chứng con tin
Sushi,su si
caramen,ca ra men
Cyberpunk,Khoa học viễn tưởng phản địa đàng
KPI,khây pi ai
CPU,Xi pi diu
Z,Giét
rap,ráp
Lego,Lê gồ
meme,mê mê
Trung Quốc,Trung Hoa
Êkíp,Ê kíp
Cứt,Phân
đụ má,đờ mờ
đĩ mẹ,đờ mờ
khốn nạn,khốn nạn
